gene	appris_tag	isoname
SLC35E2B	appris_principal__1	SLC35E2B-205
SLC35E2B	appris_principal__1	SLC35E2B-203
CDK11A	appris_principal__4	CDK11A-208
SLC35E2A	appris_principal__3	SLC35E2A-204
NADK	appris_principal__1	NADK-201
NADK	appris_principal__1	NADK-202
GNB1	appris_principal__1	GNB1-209
GNB1	appris_principal__1	GNB1-201
CALML6	appris_principal__3	CALML6-201
TMEM52	appris_principal__1	TMEM52-201
CFAP74	appris_principal__1	CFAP74-209
GABRD	appris_principal__2	GABRD-201
PRKCZ	appris_principal__1	PRKCZ-201
FAAP20	appris_principal__1	FAAP20-202
SKI	appris_principal__1	SKI-201
MORN1	appris_principal__3	MORN1-203
RER1	appris_principal__1	RER1-209
RER1	appris_principal__1	RER1-207
PEX10	appris_principal__2	PEX10-202
PLCH2	appris_principal__2	PLCH2-203
PANK4	appris_principal__1	PANK4-201
HES5	appris_principal__1	HES5-201
TNFRSF14	appris_principal__1	TNFRSF14-201
PRXL2B	appris_principal__1	PRXL2B-204
MMEL1	appris_principal__1	MMEL1-201
TTC34	appris_principal__2	TTC34-202
ACTRT2	appris_principal__1	ACTRT2-201
PRDM16	appris_principal__3	PRDM16-201
ARHGEF16	appris_principal__2	ARHGEF16-203
MEGF6	appris_principal__1	MEGF6-202
TPRG1L	appris_principal__1	TPRG1L-202
WRAP73	appris_principal__1	WRAP73-201
TP73	appris_principal__3	TP73-208
CCDC27	appris_principal__1	CCDC27-201
SMIM1	appris_principal__1	SMIM1-204
SMIM1	appris_principal__1	SMIM1-201
LRRC47	appris_principal__1	LRRC47-201
CEP104	appris_principal__2	CEP104-202
CEP104	appris_principal__2	CEP104-212
CEP104	appris_principal__2	CEP104-211
DFFB	appris_principal__3	DFFB-204
C1orf174	appris_principal__1	C1orf174-201
AJAP1	appris_principal__1	AJAP1-202
AJAP1	appris_principal__1	AJAP1-201
NPHP4	appris_principal__2	NPHP4-201
KCNAB2	appris_principal__1	KCNAB2-206
KCNAB2	appris_principal__1	KCNAB2-248
KCNAB2	appris_principal__1	KCNAB2-209
KCNAB2	appris_principal__1	KCNAB2-201
KCNAB2	appris_principal__1	KCNAB2-205
CHD5	appris_principal__1	CHD5-201
AL031847.1	appris_principal__1	AL031847.1-201
RPL22	appris_principal__1	RPL22-201
RNF207	appris_principal__1	RNF207-201
ICMT	appris_principal__1	ICMT-201
HES3	appris_principal__1	HES3-201
GPR153	appris_principal__1	GPR153-201
ACOT7	appris_principal__4	ACOT7-204
HES2	appris_principal__1	HES2-201
ESPN	appris_principal__2	ESPN-217
TNFRSF25	appris_principal__4	TNFRSF25-205
PLEKHG5	appris_principal__3	PLEKHG5-207
PLEKHG5	appris_principal__3	PLEKHG5-201
PLEKHG5	appris_principal__3	PLEKHG5-203
PLEKHG5	appris_principal__3	PLEKHG5-205
PLEKHG5	appris_principal__3	PLEKHG5-223
NOL9	appris_principal__1	NOL9-201
TAS1R1	appris_principal__1	TAS1R1-201
ZBTB48	appris_principal__1	ZBTB48-202
KLHL21	appris_principal__1	KLHL21-201
PHF13	appris_principal__1	PHF13-201
THAP3	appris_principal__3	THAP3-203
DNAJC11	appris_principal__1	DNAJC11-202
CAMTA1	appris_principal__1	CAMTA1-201
VAMP3	appris_principal__1	VAMP3-201
PER3	appris_principal__3	PER3-201
UTS2	appris_principal__4	UTS2-201
TNFRSF9	appris_principal__1	TNFRSF9-201
TNFRSF9	appris_principal__1	TNFRSF9-204
PARK7	appris_principal__1	PARK7-209
PARK7	appris_principal__1	PARK7-201
PARK7	appris_principal__1	PARK7-203
PARK7	appris_principal__1	PARK7-202
ERRFI1	appris_principal__1	ERRFI1-201
SLC45A1	appris_principal__1	SLC45A1-202
SLC45A1	appris_principal__1	SLC45A1-201
RERE	appris_principal__1	RERE-201
RERE	appris_principal__1	RERE-204
ENO1	appris_principal__3	ENO1-201
CA6	appris_principal__1	CA6-203
SLC2A7	appris_principal__1	SLC2A7-201
SLC2A5	appris_principal__1	SLC2A5-202
GPR157	appris_principal__1	GPR157-201
H6PD	appris_principal__3	H6PD-201
SPSB1	appris_principal__1	SPSB1-201
SPSB1	appris_principal__1	SPSB1-202
SPSB1	appris_principal__1	SPSB1-203
SLC25A33	appris_principal__1	SLC25A33-201
TMEM201	appris_principal__3	TMEM201-201
PIK3CD	appris_principal__1	PIK3CD-202
CLSTN1	appris_principal__3	CLSTN1-201
CTNNBIP1	appris_principal__1	CTNNBIP1-203
CTNNBIP1	appris_principal__1	CTNNBIP1-204
CTNNBIP1	appris_principal__1	CTNNBIP1-202
CTNNBIP1	appris_principal__1	CTNNBIP1-201
LZIC	appris_principal__1	LZIC-202
LZIC	appris_principal__1	LZIC-203
LZIC	appris_principal__1	LZIC-201
NMNAT1	appris_principal__1	NMNAT1-201
RBP7	appris_principal__1	RBP7-201
UBE4B	appris_principal__1	UBE4B-201
KIF1B	appris_principal__1	KIF1B-214
KIF1B	appris_principal__1	KIF1B-204
PGD	appris_principal__1	PGD-201
CENPS-CORT	appris_principal__4	CENPS-CORT-201
CENPS	appris_principal__1	CENPS-201
CORT	appris_principal__1	CORT-201
DFFA	appris_principal__1	DFFA-202
PEX14	appris_principal__1	PEX14-201
CASZ1	appris_principal__1	CASZ1-202
C1orf127	appris_principal__1	C1orf127-201
TARDBP	appris_principal__1	TARDBP-230
TARDBP	appris_principal__1	TARDBP-201
AL109811.3	appris_principal__5	AL109811.3-201
MASP2	appris_principal__1	MASP2-201
SRM	appris_principal__1	SRM-201
EXOSC10	appris_principal__1	EXOSC10-202
MTOR	appris_principal__1	MTOR-201
ANGPTL7	appris_principal__1	ANGPTL7-201
UBIAD1	appris_principal__1	UBIAD1-202
DISP3	appris_principal__1	DISP3-201
FBXO2	appris_principal__1	FBXO2-201
FBXO44	appris_principal__1	FBXO44-206
FBXO44	appris_principal__1	FBXO44-202
FBXO6	appris_principal__1	FBXO6-201
MAD2L2	appris_principal__1	MAD2L2-207
MAD2L2	appris_principal__1	MAD2L2-201
MAD2L2	appris_principal__1	MAD2L2-204
DRAXIN	appris_principal__1	DRAXIN-201
AGTRAP	appris_principal__1	AGTRAP-201
C1orf167	appris_principal__1	C1orf167-202
MTHFR	appris_principal__3	MTHFR-205
MTHFR	appris_principal__3	MTHFR-204
CLCN6	appris_principal__1	CLCN6-202
NPPA	appris_principal__2	NPPA-202
NPPB	appris_principal__1	NPPB-201
KIAA2013	appris_principal__1	KIAA2013-201
KIAA2013	appris_principal__1	KIAA2013-203
PLOD1	appris_principal__1	PLOD1-201
MFN2	appris_principal__2	MFN2-203
MFN2	appris_principal__2	MFN2-210
MFN2	appris_principal__2	MFN2-213
MFN2	appris_principal__2	MFN2-207
MFN2	appris_principal__2	MFN2-211
MFN2	appris_principal__2	MFN2-216
MFN2	appris_principal__2	MFN2-214
MFN2	appris_principal__2	MFN2-227
MFN2	appris_principal__2	MFN2-230
MFN2	appris_principal__2	MFN2-201
MIIP	appris_principal__1	MIIP-201
TNFRSF8	appris_principal__1	TNFRSF8-201
TNFRSF1B	appris_principal__1	TNFRSF1B-201
VPS13D	appris_principal__4	VPS13D-214
DHRS3	appris_principal__1	DHRS3-204
AADACL4	appris_principal__1	AADACL4-201
AADACL3	appris_principal__1	AADACL3-201
C1orf158	appris_principal__1	C1orf158-203
PRAMEF12	appris_principal__1	PRAMEF12-201
PRAMEF1	appris_principal__1	PRAMEF1-201
PRAMEF11	appris_principal__1	PRAMEF11-201
HNRNPCL1	appris_principal__1	HNRNPCL1-201
PRAMEF2	appris_principal__1	PRAMEF2-201
PRAMEF4	appris_principal__1	PRAMEF4-201
PRAMEF10	appris_principal__1	PRAMEF10-201
PRAMEF7	appris_principal__1	PRAMEF7-202
PRAMEF7	appris_principal__1	PRAMEF7-201
PRAMEF6	appris_principal__1	PRAMEF6-202
PRAMEF6	appris_principal__1	PRAMEF6-201
PRAMEF27	appris_principal__1	PRAMEF27-201
HNRNPCL3	appris_principal__1	HNRNPCL3-201
PRAMEF25	appris_principal__1	PRAMEF25-201
PRAMEF25	appris_principal__1	PRAMEF25-202
HNRNPCL2	appris_principal__1	HNRNPCL2-202
PRAMEF26	appris_principal__1	PRAMEF26-201
HNRNPCL4	appris_principal__1	HNRNPCL4-201
PRAMEF9	appris_principal__1	PRAMEF9-201
PRAMEF13	appris_principal__2	PRAMEF13-201
PRAMEF18	appris_principal__1	PRAMEF18-202
PRAMEF5	appris_principal__1	PRAMEF5-201
PRAMEF8	appris_principal__1	PRAMEF8-201
PRAMEF8	appris_principal__1	PRAMEF8-203
PRAMEF8	appris_principal__1	PRAMEF8-202
PRAMEF33	appris_principal__1	PRAMEF33-201
PRAMEF15	appris_principal__1	PRAMEF15-201
PRAMEF14	appris_principal__1	PRAMEF14-201
PRAMEF19	appris_principal__1	PRAMEF19-201
PRAMEF17	appris_principal__1	PRAMEF17-201
PRAMEF20	appris_principal__1	PRAMEF20-201
PRAMEF20	appris_principal__1	PRAMEF20-202
LRRC38	appris_principal__1	LRRC38-201
PDPN	appris_principal__3	PDPN-201
PDPN	appris_principal__3	PDPN-211
PRDM2	appris_principal__4	PRDM2-201
KAZN	appris_principal__2	KAZN-203
TMEM51	appris_principal__1	TMEM51-204
TMEM51	appris_principal__1	TMEM51-202
TMEM51	appris_principal__1	TMEM51-203
TMEM51	appris_principal__1	TMEM51-201
FHAD1	appris_principal__1	FHAD1-202
FHAD1	appris_principal__1	FHAD1-206
EFHD2	appris_principal__1	EFHD2-201
CTRC	appris_principal__1	CTRC-202
CELA2A	appris_principal__1	CELA2A-201
CELA2B	appris_principal__1	CELA2B-201
CASP9	appris_principal__1	CASP9-201
DNAJC16	appris_principal__1	DNAJC16-202
AGMAT	appris_principal__1	AGMAT-201
DDI2	appris_principal__1	DDI2-202
RSC1A1	appris_principal__1	RSC1A1-201
PLEKHM2	appris_principal__2	PLEKHM2-202
SLC25A34	appris_principal__1	SLC25A34-201
TMEM82	appris_principal__1	TMEM82-201
FBLIM1	appris_principal__3	FBLIM1-203
FBLIM1	appris_principal__3	FBLIM1-202
UQCRHL	appris_principal__1	UQCRHL-201
SPEN	appris_principal__1	SPEN-201
ZBTB17	appris_principal__3	ZBTB17-202
SRARP	appris_principal__1	SRARP-201
HSPB7	appris_principal__1	HSPB7-201
CLCNKA	appris_principal__3	CLCNKA-201
CLCNKB	appris_principal__1	CLCNKB-202
FAM131C	appris_principal__1	FAM131C-201
EPHA2	appris_principal__1	EPHA2-201
ARHGEF19	appris_principal__1	ARHGEF19-201
CPLANE2	appris_principal__1	CPLANE2-201
FBXO42	appris_principal__1	FBXO42-201
SZRD1	appris_principal__3	SZRD1-201
SPATA21	appris_principal__3	SPATA21-201
NECAP2	appris_principal__1	NECAP2-201
NBPF1	appris_principal__1	NBPF1-203
CROCC	appris_principal__1	CROCC-201
MFAP2	appris_principal__3	MFAP2-202
ATP13A2	appris_principal__1	ATP13A2-203
AL049569.3	appris_principal__1	AL049569.3-201
SDHB	appris_principal__1	SDHB-201
PADI2	appris_principal__1	PADI2-202
PADI1	appris_principal__1	PADI1-201
PADI3	appris_principal__1	PADI3-201
PADI4	appris_principal__1	PADI4-201
PADI6	appris_principal__1	PADI6-201
RCC2	appris_principal__1	RCC2-202
RCC2	appris_principal__1	RCC2-201
ARHGEF10L	appris_principal__3	ARHGEF10L-202
ACTL8	appris_principal__1	ACTL8-201
ACTL8	appris_principal__1	ACTL8-202
IGSF21	appris_principal__1	IGSF21-201
KLHDC7A	appris_principal__1	KLHDC7A-201
PAX7	appris_principal__1	PAX7-203
TAS1R2	appris_principal__1	TAS1R2-201
ALDH4A1	appris_principal__1	ALDH4A1-201
ALDH4A1	appris_principal__1	ALDH4A1-202
IFFO2	appris_principal__1	IFFO2-203
UBR4	appris_principal__1	UBR4-204
EMC1	appris_principal__3	EMC1-207
MRTO4	appris_principal__1	MRTO4-201
AKR7L	appris_principal__1	AKR7L-201
AKR7A3	appris_principal__1	AKR7A3-201
AKR7A2	appris_principal__1	AKR7A2-201
SLC66A1	appris_principal__1	SLC66A1-201
SLC66A1	appris_principal__1	SLC66A1-202
CAPZB	appris_principal__3	CAPZB-201
MICOS10	appris_principal__1	MICOS10-201
NBL1	appris_principal__3	NBL1-210
NBL1	appris_principal__3	NBL1-214
NBL1	appris_principal__3	NBL1-213
NBL1	appris_principal__3	NBL1-202
NBL1	appris_principal__3	NBL1-212
NBL1	appris_principal__3	NBL1-209
MICOS10-NBL1	appris_principal__5	MICOS10-NBL1-202
HTR6	appris_principal__1	HTR6-201
TMCO4	appris_principal__2	TMCO4-201
RNF186	appris_principal__1	RNF186-201
OTUD3	appris_principal__1	OTUD3-201
PLA2G2E	appris_principal__1	PLA2G2E-201
PLA2G2A	appris_principal__1	PLA2G2A-202
PLA2G2A	appris_principal__1	PLA2G2A-201
PLA2G5	appris_principal__1	PLA2G5-201
PLA2G2D	appris_principal__1	PLA2G2D-201
PLA2G2F	appris_principal__1	PLA2G2F-201
PLA2G2C	appris_principal__5	PLA2G2C-201
UBXN10	appris_principal__1	UBXN10-201
VWA5B1	appris_principal__5	VWA5B1-202
CAMK2N1	appris_principal__1	CAMK2N1-201
MUL1	appris_principal__1	MUL1-201
FAM43B	appris_principal__1	FAM43B-201
CDA	appris_principal__1	CDA-201
PINK1	appris_principal__1	PINK1-201
DDOST	appris_principal__2	DDOST-201
KIF17	appris_principal__3	KIF17-201
SH2D5	appris_principal__1	SH2D5-202
HP1BP3	appris_principal__1	HP1BP3-210
HP1BP3	appris_principal__1	HP1BP3-201
EIF4G3	appris_principal__3	EIF4G3-201
ECE1	appris_principal__3	ECE1-203
NBPF3	appris_principal__3	NBPF3-202
ALPL	appris_principal__1	ALPL-204
ALPL	appris_principal__1	ALPL-203
RAP1GAP	appris_principal__3	RAP1GAP-206
USP48	appris_principal__1	USP48-201
LDLRAD2	appris_principal__1	LDLRAD2-201
LDLRAD2	appris_principal__1	LDLRAD2-203
HSPG2	appris_principal__1	HSPG2-203
CELA3B	appris_principal__1	CELA3B-201
CELA3A	appris_principal__1	CELA3A-201
CDC42	appris_principal__5	CDC42-201
WNT4	appris_principal__1	WNT4-201
ZBTB40	appris_principal__3	ZBTB40-202
ZBTB40	appris_principal__3	ZBTB40-204
EPHA8	appris_principal__1	EPHA8-201
C1QA	appris_principal__1	C1QA-201
C1QA	appris_principal__1	C1QA-202
C1QC	appris_principal__1	C1QC-203
C1QC	appris_principal__1	C1QC-202
C1QC	appris_principal__1	C1QC-201
C1QB	appris_principal__1	C1QB-202
EPHB2	appris_principal__4	EPHB2-203
LACTBL1	appris_principal__1	LACTBL1-201
TEX46	appris_principal__1	TEX46-202
KDM1A	appris_principal__1	KDM1A-202
LUZP1	appris_principal__2	LUZP1-203
LUZP1	appris_principal__2	LUZP1-201
HTR1D	appris_principal__1	HTR1D-201
HNRNPR	appris_principal__3	HNRNPR-201
HNRNPR	appris_principal__3	HNRNPR-202
ZNF436	appris_principal__1	ZNF436-201
ZNF436	appris_principal__1	ZNF436-202
TCEA3	appris_principal__1	TCEA3-203
ASAP3	appris_principal__1	ASAP3-201
E2F2	appris_principal__1	E2F2-201
ID3	appris_principal__1	ID3-201
RPL11	appris_principal__3	RPL11-206
ELOA	appris_principal__2	ELOA-201
ELOA	appris_principal__2	ELOA-204
PITHD1	appris_principal__1	PITHD1-201
LYPLA2	appris_principal__1	LYPLA2-205
GALE	appris_principal__1	GALE-216
GALE	appris_principal__1	GALE-201
HMGCL	appris_principal__1	HMGCL-203
FUCA1	appris_principal__1	FUCA1-201
CNR2	appris_principal__1	CNR2-201
PNRC2	appris_principal__1	PNRC2-205
PNRC2	appris_principal__1	PNRC2-202
PNRC2	appris_principal__1	PNRC2-201
SRSF10	appris_principal__4	SRSF10-214
MYOM3	appris_principal__1	MYOM3-202
IL22RA1	appris_principal__1	IL22RA1-201
IFNLR1	appris_principal__1	IFNLR1-201
GRHL3	appris_principal__1	GRHL3-204
STPG1	appris_principal__3	STPG1-201
NIPAL3	appris_principal__1	NIPAL3-204
RCAN3	appris_principal__1	RCAN3-207
RCAN3	appris_principal__1	RCAN3-202
RCAN3	appris_principal__1	RCAN3-208
NCMAP	appris_principal__1	NCMAP-201
SRRM1	appris_principal__1	SRRM1-201
CLIC4	appris_principal__1	CLIC4-201
RUNX3	appris_principal__3	RUNX3-201
SYF2	appris_principal__1	SYF2-201
RSRP1	appris_principal__1	RSRP1-201
RHD	appris_principal__1	RHD-201
TMEM50A	appris_principal__1	TMEM50A-201
RHCE	appris_principal__2	RHCE-201
MACO1	appris_principal__1	MACO1-201
LDLRAP1	appris_principal__1	LDLRAP1-201
MAN1C1	appris_principal__2	MAN1C1-203
SELENON	appris_principal__4	SELENON-202
AL020996.2	appris_principal__1	AL020996.2-202
MTFR1L	appris_principal__1	MTFR1L-203
MTFR1L	appris_principal__1	MTFR1L-202
MTFR1L	appris_principal__1	MTFR1L-201
AUNIP	appris_principal__3	AUNIP-201
PAQR7	appris_principal__1	PAQR7-201
PAQR7	appris_principal__1	PAQR7-202
STMN1	appris_principal__1	STMN1-206
STMN1	appris_principal__1	STMN1-203
STMN1	appris_principal__1	STMN1-201
STMN1	appris_principal__1	STMN1-202
PAFAH2	appris_principal__1	PAFAH2-201
PAFAH2	appris_principal__1	PAFAH2-202
EXTL1	appris_principal__1	EXTL1-201
SLC30A2	appris_principal__1	SLC30A2-201
TRIM63	appris_principal__1	TRIM63-201
PDIK1L	appris_principal__1	PDIK1L-204
PDIK1L	appris_principal__1	PDIK1L-201
PDIK1L	appris_principal__1	PDIK1L-202
FAM110D	appris_principal__1	FAM110D-201
C1orf232	appris_principal__5	C1orf232-201
AL391650.1	appris_principal__1	AL391650.1-201
AL391650.1	appris_principal__1	AL391650.1-205
AL391650.1	appris_principal__1	AL391650.1-206
ZNF593	appris_principal__1	ZNF593-202
CNKSR1	appris_principal__3	CNKSR1-201
CATSPER4	appris_principal__1	CATSPER4-202
CEP85	appris_principal__3	CEP85-201
SH3BGRL3	appris_principal__1	SH3BGRL3-201
UBXN11	appris_principal__4	UBXN11-205
UBXN11	appris_principal__4	UBXN11-206
CD52	appris_principal__1	CD52-201
CRYBG2	appris_principal__5	CRYBG2-206
ZNF683	appris_principal__3	ZNF683-201
LIN28A	appris_principal__1	LIN28A-201
LIN28A	appris_principal__1	LIN28A-202
DHDDS	appris_principal__4	DHDDS-202
HMGN2	appris_principal__1	HMGN2-201
HMGN2	appris_principal__1	HMGN2-210
RPS6KA1	appris_principal__3	RPS6KA1-204
ARID1A	appris_principal__3	ARID1A-201
PIGV	appris_principal__1	PIGV-204
PIGV	appris_principal__1	PIGV-206
PIGV	appris_principal__1	PIGV-207
PIGV	appris_principal__1	PIGV-202
PIGV	appris_principal__1	PIGV-208
PIGV	appris_principal__1	PIGV-201
ZDHHC18	appris_principal__2	ZDHHC18-202
SFN	appris_principal__1	SFN-201
GPN2	appris_principal__1	GPN2-202
GPATCH3	appris_principal__1	GPATCH3-201
NUDC	appris_principal__1	NUDC-201
NR0B2	appris_principal__1	NR0B2-201
KDF1	appris_principal__1	KDF1-201
TRNP1	appris_principal__1	TRNP1-201
TENT5B	appris_principal__1	TENT5B-201
SLC9A1	appris_principal__1	SLC9A1-201
WDTC1	appris_principal__3	WDTC1-202
TMEM222	appris_principal__1	TMEM222-211
TMEM222	appris_principal__1	TMEM222-201
SYTL1	appris_principal__3	SYTL1-201
MAP3K6	appris_principal__3	MAP3K6-201
FCN3	appris_principal__4	FCN3-201
CD164L2	appris_principal__3	CD164L2-202
GPR3	appris_principal__1	GPR3-201
WASF2	appris_principal__1	WASF2-202
AHDC1	appris_principal__1	AHDC1-201
AHDC1	appris_principal__1	AHDC1-217
AHDC1	appris_principal__1	AHDC1-213
AHDC1	appris_principal__1	AHDC1-202
AHDC1	appris_principal__1	AHDC1-207
AHDC1	appris_principal__1	AHDC1-206
FGR	appris_principal__1	FGR-203
FGR	appris_principal__1	FGR-204
FGR	appris_principal__1	FGR-202
FGR	appris_principal__1	FGR-201
IFI6	appris_principal__4	IFI6-201
FAM76A	appris_principal__1	FAM76A-204
STX12	appris_principal__1	STX12-201
PPP1R8	appris_principal__1	PPP1R8-202
THEMIS2	appris_principal__1	THEMIS2-202
RPA2	appris_principal__1	RPA2-203
SMPDL3B	appris_principal__1	SMPDL3B-202
XKR8	appris_principal__1	XKR8-201
EYA3	appris_principal__3	EYA3-203
PTAFR	appris_principal__1	PTAFR-202
PTAFR	appris_principal__1	PTAFR-203
PTAFR	appris_principal__1	PTAFR-201
DNAJC8	appris_principal__1	DNAJC8-201
ATP5IF1	appris_principal__1	ATP5IF1-201
SESN2	appris_principal__1	SESN2-201
MED18	appris_principal__1	MED18-201
MED18	appris_principal__1	MED18-202
PHACTR4	appris_principal__4	PHACTR4-201
RCC1	appris_principal__1	RCC1-204
RCC1	appris_principal__1	RCC1-203
RCC1	appris_principal__1	RCC1-202
TRNAU1AP	appris_principal__1	TRNAU1AP-201
TAF12	appris_principal__1	TAF12-202
TAF12	appris_principal__1	TAF12-201
RAB42	appris_principal__1	RAB42-202
GMEB1	appris_principal__4	GMEB1-201
YTHDF2	appris_principal__3	YTHDF2-209
YTHDF2	appris_principal__3	YTHDF2-201
OPRD1	appris_principal__1	OPRD1-201
EPB41	appris_principal__3	EPB41-214
TMEM200B	appris_principal__1	TMEM200B-202
TMEM200B	appris_principal__1	TMEM200B-201
SRSF4	appris_principal__1	SRSF4-201
MECR	appris_principal__4	MECR-201
PTPRU	appris_principal__4	PTPRU-201
MATN1	appris_principal__1	MATN1-201
LAPTM5	appris_principal__1	LAPTM5-201
SDC3	appris_principal__2	SDC3-202
PUM1	appris_principal__3	PUM1-201
NKAIN1	appris_principal__1	NKAIN1-201
SNRNP40	appris_principal__1	SNRNP40-201
ZCCHC17	appris_principal__1	ZCCHC17-202
ZCCHC17	appris_principal__1	ZCCHC17-201
FABP3	appris_principal__1	FABP3-201
SERINC2	appris_principal__3	SERINC2-201
TINAGL1	appris_principal__3	TINAGL1-201
HCRTR1	appris_principal__1	HCRTR1-203
HCRTR1	appris_principal__1	HCRTR1-202
PEF1	appris_principal__1	PEF1-201
COL16A1	appris_principal__1	COL16A1-203
ADGRB2	appris_principal__4	ADGRB2-201
SPOCD1	appris_principal__3	SPOCD1-202
PTP4A2	appris_principal__1	PTP4A2-218
PTP4A2	appris_principal__1	PTP4A2-219
PTP4A2	appris_principal__1	PTP4A2-220
KHDRBS1	appris_principal__1	KHDRBS1-202
TMEM39B	appris_principal__1	TMEM39B-201
KPNA6	appris_principal__1	KPNA6-201
TXLNA	appris_principal__1	TXLNA-202
TXLNA	appris_principal__1	TXLNA-201
CCDC28B	appris_principal__1	CCDC28B-201
IQCC	appris_principal__3	IQCC-201
DCDC2B	appris_principal__1	DCDC2B-201
TMEM234	appris_principal__1	TMEM234-201
EIF3I	appris_principal__1	EIF3I-202
FAM167B	appris_principal__1	FAM167B-201
LCK	appris_principal__1	LCK-202
LCK	appris_principal__1	LCK-214
HDAC1	appris_principal__1	HDAC1-201
MARCKSL1	appris_principal__1	MARCKSL1-201
TSSK3	appris_principal__1	TSSK3-201
FAM229A	appris_principal__1	FAM229A-204
BSDC1	appris_principal__1	BSDC1-206
AL033529.1	appris_principal__1	AL033529.1-201
ZBTB8B	appris_principal__1	ZBTB8B-201
ZBTB8A	appris_principal__1	ZBTB8A-202
ZBTB8OS	appris_principal__1	ZBTB8OS-208
RBBP4	appris_principal__3	RBBP4-202
SYNC	appris_principal__3	SYNC-202
KIAA1522	appris_principal__3	KIAA1522-204
YARS1	appris_principal__1	YARS1-201
S100PBP	appris_principal__1	S100PBP-203
S100PBP	appris_principal__1	S100PBP-202
FNDC5	appris_principal__1	FNDC5-205
HPCA	appris_principal__1	HPCA-201
TMEM54	appris_principal__1	TMEM54-202
RNF19B	appris_principal__3	RNF19B-203
AK2	appris_principal__4	AK2-217
AZIN2	appris_principal__1	AZIN2-201
AZIN2	appris_principal__1	AZIN2-204
TRIM62	appris_principal__1	TRIM62-201
ZNF362	appris_principal__1	ZNF362-205
ZNF362	appris_principal__1	ZNF362-201
A3GALT2	appris_principal__1	A3GALT2-201
PHC2	appris_principal__4	PHC2-201
ZSCAN20	appris_principal__1	ZSCAN20-201
CSMD2	appris_principal__2	CSMD2-205
HMGB4	appris_principal__1	HMGB4-203
HMGB4	appris_principal__1	HMGB4-204
C1orf94	appris_principal__3	C1orf94-201
SMIM12	appris_principal__1	SMIM12-206
SMIM12	appris_principal__1	SMIM12-204
SMIM12	appris_principal__1	SMIM12-205
SMIM12	appris_principal__1	SMIM12-202
SMIM12	appris_principal__1	SMIM12-201
GJB5	appris_principal__1	GJB5-201
GJB4	appris_principal__1	GJB4-201
GJB3	appris_principal__1	GJB3-202
GJB3	appris_principal__1	GJB3-201
GJA4	appris_principal__1	GJA4-201
DLGAP3	appris_principal__1	DLGAP3-201
DLGAP3	appris_principal__1	DLGAP3-202
AC114490.3	appris_principal__1	AC114490.3-201
AC114490.2	appris_principal__1	AC114490.2-201
TMEM35B	appris_principal__1	TMEM35B-201
ZMYM6	appris_principal__1	ZMYM6-202
ZMYM1	appris_principal__1	ZMYM1-211
ZMYM1	appris_principal__1	ZMYM1-210
ZMYM1	appris_principal__1	ZMYM1-201
ZMYM1	appris_principal__1	ZMYM1-203
SFPQ	appris_principal__1	SFPQ-201
ZMYM4	appris_principal__1	ZMYM4-201
